회차,날짜,시청률
1회,2023.11.5,0.85%
2회,2023.11.12,1.48%
3회,2023.11.19,1.23%
4회,2023.11.26,1.15%
5회,2023.12.3,1.56%
6회,2023.12.10,1.30%
7회,2023.12.17,1.60%
8회,2023.12.24,1.52%
9회,2023.12.31,1.27%
10회,2024.1.7,1.10%
11회,2024.1.14,1.37%
12회,2024.1.21,1.51%
13회,2024.1.28,1.66%
14회,2024.2.4,1.43%
15회,2024.6.30,1.06%
16회,2024.7.7,1.12%
17회,2024.7.14,1.01%
18회,2024.7.21,0.83%
19회,2024.7.28,1.44%
20회,2024.8.4,1.22%
21회,2024.8.11,1.08%
22회,2024.8.18,0.99%
23회,2024.8.25,1.05%
24회,2024.9.1,1.34%
