회차,날짜,시청률
98회,2023.9.19,1.89%
99회,2023.9.26,1.74%
100회,2023.10.3,2.30%
101회,2023.10.10,1.21%
102회,2023.10.17,1.15%
103회,2023.10.24,1.03%
104회,2023.10.31,1.11%
105회,2023.11.7,1.37%
106회,2023.11.14,1.60%
107회,2023.11.21,1.10%
108회,2023.11.28,0.97%
109회,2023.12.5,1.65%
110회,2023.12.12,1.65%
111회,2023.12.19,0.86%
112회,2023.12.26,1.06%
113회,2024.1.2,1.13%
114회,2024.1.9,1.53%
115회,2024.1.16,0.82%
116회,2024.1.23,1.18%
117회,2024.1.30,1.71%
118회,2024.2.6,1.41%
119회,2024.2.13,1.27%
120회,2024.2.20,0.98%
121회,2024.2.27,1.06%
122회,2024.3.5,1.46%
123회,2024.3.12,1.38%
124회,2024.3.19,1.28%
125회,2024.3.26,1.11%
126회,2024.4.2,2.24%
127회,2024.4.9,1.87%
128회,2024.4.18,1.21%
129회,2024.4.25,1.28%
130회,2024.5.2,1.82%
131회,2024.5.9,1.54%
132회,2024.5.16,1.19%
133회,2024.5.23,1.57%
134회,2024.5.30,1.21%
135회,2024.6.6,1.37%
136회,2024.6.13,1.25%
137회,2024.6.20,0.95%
138회,2024.6.27,1.53%
139회,2024.7.4,1.42%
140회,2024.7.11,1.53%
141회,2024.7.18,0.92%
142회,2024.7.25,0.78%
143회,2024.8.1,1.49%
144회,2024.8.8,1.52%
145회,2024.8.15,1.14%
146회,2024.8.22,1.24%
147회,2024.8.29,1.27%
