회차,날짜,시청률
80회,2023.9.6,3.27%
81회,2023.9.13,2.51%
82회,2023.9.20,2.44%
83회,2023.9.27,2.73%
84회,2023.10.4,2.22%
85회,2023.10.11,2.40%
86회,2023.10.18,2.13%
87회,2023.10.25,1.96%
88회,2023.11.1,2.56%
89회,2023.11.8,2.26%
90회,2023.11.15,2.42%
91회,2023.11.22,1.91%
92회,2023.11.29,2.43%
93회,2023.12.6,2.70%
94회,2023.12.13,2.69%
95회,2023.12.20,3.34%
96회,2024.1.3,2.66%
97회,2024.1.10,3.22%
98회,2024.1.17,2.56%
99회,2024.1.24,3.09%
100회,2024.1.31,3.20%
101회,2024.2.7,2.51%
102회,2024.2.14,2.18%
103회,2024.2.21,2.52%
104회,2024.2.28,2.55%
105회,2024.3.6,2.37%
106회,2024.3.13,2.44%
107회,2024.3.20,2.35%
108회,2024.3.27,2.46%
109회,2024.4.3,3.10%
110회,2024.4.17,2.09%
111회,2024.4.24,2.84%
112회,2024.5.1,2.70%
113회,2024.5.8,2.55%
114회,2024.5.15,3.00%
115회,2024.5.22,2.79%
116회,2024.5.29,2.57%
117회,2024.6.5,2.54%
118회,2024.6.12,2.30%
119회,2024.6.19,2.67%
120회,2024.6.26,2.47%
121회,2024.7.3,2.80%
122회,2024.7.10,2.59%
123회,2024.7.17,2.57%
124회,2024.7.24,2.80%
125회,2024.7.31,1.79%
126회,2024.8.7,2.45%
127회,2024.8.14,2.22%
128회,2024.8.21,1.94%
129회,2024.8.28,2.30%
