회차,날짜,시청률
156회,2023.7.21,2.07%
157회,2023.7.28,1.84%
158회,2023.8.4,1.83%
159회,2023.8.18,1.74%
160회,2023.8.25,1.31%
161회,2023.9.1,1.51%
162회,2023.9.8,1.30%
163회,2023.9.15,2.19%
164회,2023.9.22,1.97%
165회,2023.10.6,2.11%
166회,2023.10.13,1.97%
167회,2023.10.20,1.91%
168회,2023.10.27,1.60%
169회,2023.11.10,1.79%
170회,2023.11.17,1.79%
171회,2023.11.24,2.08%
172회,2023.12.15,1.84%
173회,2023.12.22,2.05%
174회,2023.12.29,2.42%
175회,2024.1.12,2.01%
176회,2024.1.19,2.31%
177회,2024.1.26,1.99%
178회,2024.2.2,2.46%
179회,2024.2.9,1.71%
180회,2024.2.16,1.97%
181회,2024.2.23,1.84%
182회,2024.3.8,2.59%
183회,2024.3.15,1.85%
184회,2024.3.22,2.01%
185회,2024.3.29,1.97%
186회,2024.4.5,2.34%
187회,2024.4.12,2.18%
188회,2024.4.19,2.42%
189회,2024.4.26,2.01%
190회,2024.5.3,1.63%
191회,2024.5.10,1.76%
192회,2024.5.17,1.81%
193회,2024.5.24,1.74%
194회,2024.5.31,1.74%
195회,2024.6.7,1.52%
196회,2024.6.14,2.13%
197회,2024.6.28,1.78%
198회,2024.7.5,1.81%
199회,2024.7.12,1.30%
200회,2024.7.19,1.72%
201회,2024.7.26,1.69%
202회,2024.8.9,1.88%
203회,2024.8.16,1.63%
204회,2024.8.23,1.42%
205회,2024.8.30,1.18%
