회차,날짜,시청률
613회,2023.9.17,1.84%
614회,2023.9.24,1.76%
615회,2023.10.1,2.01%
616회,2023.10.8,2.07%
617회,2023.10.15,2.20%
618회,2023.10.22,2.14%
619회,2023.10.29,2.15%
620회,2023.11.5,2.32%
621회,2023.11.12,1.93%
622회,2023.11.19,1.88%
623회,2023.11.26,2.37%
624회,2023.12.3,2.07%
625회,2023.12.10,1.86%
626회,2023.12.17,1.90%
627회,2023.12.24,2.91%
628회,2024.1.7,2.16%
629회,2024.1.14,2.38%
630회,2024.1.21,2.33%
631회,2024.1.28,2.89%
632회,2024.2.4,2.16%
633회,2024.2.11,1.90%
634회,2024.2.18,1.93%
635회,2024.2.25,2.36%
636회,2024.3.3,1.91%
637회,2024.3.10,2.09%
638회,2024.3.17,1.88%
639회,2024.3.24,2.09%
640회,2024.3.31,2.15%
641회,2024.4.7,2.44%
642회,2024.4.14,2.13%
643회,2024.4.21,1.95%
644회,2024.4.28,1.94%
645회,2024.5.5,2.56%
646회,2024.5.12,1.77%
647회,2024.5.19,2.11%
648회,2024.5.26,1.63%
649회,2024.6.2,2.73%
650회,2024.6.9,1.98%
651회,2024.6.16,2.41%
652회,2024.6.23,2.13%
653회,2024.6.30,2.54%
654회,2024.7.7,2.47%
655회,2024.7.14,2.34%
656회,2024.7.21,2.39%
657회,2024.7.28,1.49%
658회,2024.8.4,1.97%
659회,2024.8.11,2.22%
660회,2024.8.18,2.56%
661회,2024.8.25,2.13%
662회,2024.9.1,2.38%
