회차,날짜,시청률
3회,2023.9.18,1.36%
4회,2023.9.25,1.74%
5회,2023.10.9,2.90%
6회,2023.10.16,1.03%
7회,2023.10.23,2.13%
8회,2023.10.30,1.44%
9회,2023.11.6,1.83%
10회,2023.11.13,1.60%
11회,2023.11.20,1.85%
12회,2023.11.27,1.57%
13회,2023.12.4,2.13%
14회,2023.12.11,1.89%
15회,2023.12.18,1.82%
16회,2023.12.25,3.08%
17회,2024.1.1,2.12%
18회,2024.1.8,1.84%
19회,2024.1.15,1.25%
20회,2024.1.22,2.06%
21회,2024.1.29,2.68%
22회,2024.2.5,1.46%
23회,2024.2.12,2.42%
24회,2024.2.19,1.66%
25회,2024.2.26,1.69%
26회,2024.3.4,1.50%
27회,2024.3.11,2.02%
28회,2024.3.18,1.78%
29회,2024.3.25,1.67%
30회,2024.4.1,1.09%
31회,2024.4.8,1.08%
32회,2024.4.15,1.53%
33회,2024.4.22,1.44%
34회,2024.4.29,1.73%
35회,2024.5.6,2.84%
36회,2024.5.13,2.00%
37회,2024.5.20,1.67%
38회,2024.5.27,1.83%
39회,2024.6.3,1.43%
40회,2024.6.10,1.53%
41회,2024.6.17,1.88%
42회,2024.6.24,1.64%
43회,2024.7.1,1.22%
44회,2024.7.8,1.58%
45회,2024.7.15,1.38%
46회,2024.7.22,1.01%
47회,2024.7.29,2.09%
48회,2024.8.5,1.40%
49회,2024.8.12,1.93%
50회,2024.8.19,1.69%
51회,2024.8.26,1.78%
52회,2024.9.2,1.10%
