,,전체,13-19세,남자,여자,20-29세,남자,여자,30-39세,남자,여자,40-49세,남자,여자,50-59세,남자,여자,60-69세,남자,여자
조사모집단 수,조사모집단 수 (명),"18,762,920","2,320,768","1,350,407","970,361","4,706,590","2,424,230","2,282,360","4,365,720","2,474,940","1,890,780","3,684,220","2,278,679","1,405,541","2,409,509","1,486,216","923,293","1,276,113","879,034","397,079"
총합계,Total,"105,576.24","6,726","4,303.06","2,423.42","25,284","15,643.27","9,640.56","26,158","15,710.91","10,446.81","21,382","14,879.65","6,502.32","14,818","5,988.18","8,829.99","11,208","9,658.15","1,549.92"
교육,Total,90.52,0,0.00,0.00,48,26.78,21.25,0,0.00,0.47,42,33.63,8.39,0,0.00,0.00,0,0.00,0.00
,vod,90.52,0,0.00,0.00,48,26.78,21.25,0,0.00,0.47,42,33.63,8.39,0,0.00,0.00,0,0.00,0.00
기타,Total,201.54,29,3.12,25.79,30,3.14,26.53,44,43.67,0.00,0,0.00,0.00,0,0.00,0.00,99,99.29,0.00
,live,81.11,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,81,81.11,0.00
,vod,120.44,29,3.12,25.79,30,3.14,26.53,44,43.67,0.00,0,0.00,0.00,0,0.00,0.00,18,18.18,0.00
드라마&영화,Total,"15,097.97","1,360",472.14,888.09,"3,713",976.30,"2,736.62","3,668","1,705.99","1,961.52","3,702","2,744.83",956.75,"1,817",514.54,"1,302.50",839,711.35,127.35
,live,"3,832.01",387,60.48,326.59,"1,131",232.04,899.13,930,214.85,715.08,764,502.25,261.41,421,142.69,278.71,199,197.96,0.83
,vod,"11,265.96",973,411.66,561.51,"2,582",744.26,"1,837.49","2,738","1,491.14","1,246.44","2,938","2,242.58",695.34,"1,396",371.86,"1,023.79",640,513.39,126.52
보도,Total,"21,801.48",595,575.00,20.29,"3,262","2,513.90",747.60,"2,450","1,366.78","1,083.16","3,921","2,549.92","1,371.23","5,883","2,282.24","3,600.78","5,691","5,350.69",339.90
,live,"9,931.75",373,368.50,4.33,"1,881","1,367.61",513.23,848,395.40,452.67,"1,754","1,392.67",360.95,"1,941",943.90,997.25,"3,135","3,001.11",134.12
,vod,"11,869.73",222,206.50,15.96,"1,381","1,146.29",234.37,"1,602",971.38,630.49,"2,168","1,157.25","1,010.28","3,942","1,338.33","2,603.53","2,555","2,349.59",205.77
스포츠,Total,"15,995.96","1,796","1,546.70",249.59,"6,230","5,327.36",902.67,"4,097","2,764.13","1,332.80","2,366","1,606.86",759.40,"1,195",545.22,649.47,312,292.11,19.66
,live,"5,870.00",632,609.25,22.38,"1,160","1,067.61",92.04,"2,019","1,163.33",855.31,"1,251","1,010.41",240.99,728,425.83,302.29,81,80.57,0.00
,vod,"10,125.96","1,165",937.45,227.21,"5,070","4,259.75",810.64,"2,078","1,600.81",477.48,"1,115",596.45,518.41,467,119.39,347.18,231,211.54,19.66
어린이(유아),Total,786.82,9,8.85,0.00,62,43.32,18.50,55,48.76,5.91,438,97.87,340.37,188,172.30,16.13,35,7.02,27.81
,live,72.58,0,0.00,0.00,3,0.00,2.75,0,0.11,0.00,51,50.56,0.00,19,6.19,12.97,0,0.00,0.00
,vod,714.24,9,8.85,0.00,59,43.32,15.74,55,48.65,5.91,388,47.31,340.37,169,166.11,3.16,35,7.02,27.81
오락,Total,"46,030.74","2,635","1,520.01","1,114.55","10,289","5,746.84","4,541.91","15,063","9,373.52","5,689.36","9,574","6,842.25","2,731.95","4,904","2,157.62","2,745.97","3,567","2,602.29",964.47
,live,"7,781.40",247,163.58,83.81,"1,268",584.57,683.84,"3,134","1,734.53","1,399.74","1,503",841.92,660.91,"1,048",319.99,727.65,581,459.82,121.02
,vod,"38,249.34","2,387","1,356.42","1,030.74","9,020","5,162.27","3,858.07","11,929","7,639.00","4,289.62","8,071","6,000.33","2,071.05","3,856","1,837.63","2,018.32","2,986","2,142.46",843.45
정보,Total,"5,571.20",302,177.24,125.11,"1,651","1,005.62",645.49,782,408.06,373.59,"1,339","1,004.30",334.23,831,316.27,515.16,666,595.40,70.74
,live,714.61,55,37.59,17.50,168,63.60,103.97,51,30.18,21.31,97,88.37,8.89,82,16.32,65.27,262,261.60,0.00
,vod,"4,856.59",247,139.65,107.61,"1,484",942.03,541.52,730,377.88,352.28,"1,241",915.93,325.34,750,299.94,449.88,405,333.80,70.74
