,,합계,전체,13-19세,남자,여자,20-29세,남자,여자,30-39세,남자,여자,40-49세,남자,여자,50-59세,남자,여자,60-69세,남자,여자
조사모집단 수,조사모집단 수 (명),-,"33,356,810","1,957,659","1,119,686","837,973","3,513,818","1,911,893","1,601,925","4,763,601","2,526,412","2,237,189","6,864,234","3,497,364","3,366,870","8,107,221","3,982,547","4,124,674","8,150,277","4,009,955","4,140,322"
총합계,Total,"426,443.70","320,867.46","8,507","4,725.97","3,781.32","22,859","14,618.92","8,240.22","28,653","15,239.85","13,413.48","81,469","48,078.81","33,390.62","87,199","30,463.01","56,735.53","92,180","36,589.78","55,589.96"
교육,Total,144.98,54.46,5,0.00,4.78,0,0.00,0.00,0,0.00,0.00,8,0.00,7.73,21,17.20,3.47,21,17.58,3.69
,vod,144.98,54.46,5,0.00,4.78,0,0.00,0.00,0,0.00,0.00,8,0.00,7.73,21,17.20,3.47,21,17.58,3.69
기타,Total,497.49,295.95,0,0.00,0.00,5,5.43,0.00,14,12.41,2.01,146,98.78,46.81,90,6.52,83.23,41,24.60,16.14
,live,112.32,31.22,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,8,1.80,6.59,23,21.48,1.35
,vod,385.17,264.73,0,0.00,0.00,5,5.43,0.00,14,12.41,2.01,146,98.78,46.81,81,4.72,76.65,18,3.12,14.80
드라마&영화,Total,"81,107.38","66,009.41",756,165.42,591.02,"6,730","4,899.10","1,831.05","4,577","2,141.14","2,435.93","19,019","9,881.98","9,137.05","23,304","4,629.86","18,673.98","11,623","2,616.70","9,006.18"
,live,"18,145.59","14,313.58",105,32.39,72.46,"1,319",591.71,727.07,"1,006",476.24,529.49,"4,255","1,804.45","2,450.84","5,258","1,046.75","4,211.03","2,371",414.42,"1,956.74"
,vod,"62,961.79","51,695.83",652,133.03,518.56,"5,411","4,307.39","1,103.98","3,571","1,664.91","1,906.44","14,764","8,077.53","6,686.22","18,046","3,583.11","14,462.95","9,252","2,202.28","7,049.44"
보도,Total,"126,595.22","104,793.74",477,295.47,182.00,"2,265","1,273.21",991.71,"6,823","5,187.30","1,636.01","20,165","13,807.86","6,357.16","27,974","13,973.19","14,001.19","47,089","23,626.76","23,461.88"
,live,"42,657.01","32,725.26",60,31.78,28.46,561,255.56,305.32,"2,683","1,663.67","1,019.23","6,274","3,907.14","2,366.92","8,937","5,598.65","3,338.12","14,210","7,822.60","6,387.80"
,vod,"83,938.22","72,068.48",417,263.69,153.54,"1,704","1,017.65",686.38,"4,140","3,523.63",616.78,"13,891","9,900.72","3,990.23","19,038","8,374.54","10,663.07","32,878","15,804.16","17,074.08"
스포츠,Total,"32,737.34","16,741.37",340,116.37,223.88,"1,466","1,209.90",256.05,"1,130","1,057.20",73.23,"7,492","6,998.84",493.16,"3,032","1,967.62","1,064.69","3,280","1,943.55","1,336.89"
,live,"15,311.18","9,441.18",162,42.28,119.69,794,781.26,13.20,618,576.08,42.34,"5,004","4,961.99",42.11,"1,098",733.43,364.63,"1,764","1,052.09",712.09
,vod,"17,426.15","7,300.19",178,74.09,104.19,671,428.64,242.85,512,481.12,30.88,"2,488","2,036.86",451.05,"1,934","1,234.19",700.06,"1,516",891.46,624.79
어린이(유아),Total,"2,354.33","1,567.51",125,0.00,125.38,37,5.18,32.22,191,64.64,126.29,264,74.42,189.41,521,66.91,453.70,429,69.00,360.36
,live,175.72,103.14,2,0.00,1.76,18,0.00,18.41,4,0.41,4.07,7,0.93,6.32,51,6.97,43.75,21,15.37,5.15
,vod,"2,178.61","1,464.37",124,0.00,123.62,19,5.18,13.81,186,64.23,122.21,257,73.49,183.09,470,59.94,409.96,409,53.63,355.21
오락,Total,"164,655.74","118,625.00","6,397","3,844.33","2,552.42","11,786","6,955.86","4,830.61","14,829","6,196.29","8,632.41","30,965","15,245.45","15,719.33","28,836","8,869.89","19,965.67","25,813","7,094.23","18,718.53"
,live,"24,920.89","17,139.49",701,365.32,335.51,"2,028","1,397.06",630.93,"2,082",790.95,"1,291.53","5,013","2,413.36","2,599.94","3,533","1,216.22","2,317.22","3,781",943.57,"2,837.88"
,vod,"139,734.86","101,485.51","5,696","3,479.01","2,216.91","9,758","5,558.80","4,199.67","12,746","5,405.34","7,340.89","25,951","12,832.09","13,119.39","25,302","7,653.66","17,648.45","22,031","6,150.66","15,880.65"
정보,Total,"18,351.22","12,780.02",406,304.37,101.84,569,270.25,298.59,"1,088",580.87,507.61,"3,411","1,971.48","1,439.97","3,421",931.81,"2,489.59","3,884","1,197.36","2,686.28"
,live,"2,894.83","2,180.22",37,36.96,0.00,101,61.91,39.42,357,164.75,192.60,547,437.84,109.07,707,169.18,538.25,430,267.44,162.79
,vod,"15,456.39","10,599.80",369,267.41,101.84,468,208.34,259.18,731,416.12,315.01,"2,865","1,533.64","1,330.89","2,714",762.63,"1,951.34","3,453",929.92,"2,523.49"
